<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURRUB;D;01/01/14;000000;45.0830000;45.3061000;45.0830000;45.1687000
EURRUB;D;02/01/14;000000;45.1840000;45.3213000;45.0050000;45.1750000
EURRUB;D;03/01/14;000000;45.1750000;45.2800000;44.9610000;45.1464000
EURRUB;D;04/01/14;000000;45.1490000;45.1490000;45.0557000;45.1120000
EURRUB;D;06/01/14;000000;45.0806000;45.3690000;44.9160000;45.2470000
EURRUB;D;07/01/14;000000;45.2450000;45.4000000;45.0064000;45.1180000
EURRUB;D;08/01/14;000000;45.1260000;45.2800000;44.9030000;45.0598000
EURRUB;D;09/01/14;000000;44.9730000;45.2240000;44.8970000;45.1350000
EURRUB;D;10/01/14;000000;45.1340000;45.2960000;45.0220000;45.0220000
EURRUB;D;11/01/14;000000;45.0780000;45.1870000;45.0660000;45.0880000
EURRUB;D;12/01/14;000000;45.1070000;45.1070000;45.1050000;45.1070000
EURRUB;D;13/01/14;000000;45.1150000;45.5120000;45.1110000;45.4890000
EURRUB;D;14/01/14;000000;45.4890000;45.6140000;45.3400000;45.5250000
EURRUB;D;15/01/14;000000;45.5410000;45.5920000;45.3180000;45.4270000
EURRUB;D;16/01/14;000000;45.4270000;45.5640000;45.3683000;45.4820000
EURRUB;D;17/01/14;000000;45.4550000;45.6010000;45.3970000;45.4516000
EURRUB;D;18/01/14;000000;45.4482000;45.4930000;45.4366000;45.4790000
EURRUB;D;20/01/14;000000;45.4740000;45.8460000;45.3720000;45.8100000
EURRUB;D;21/01/14;000000;45.8050000;46.0310000;45.6911000;46.0080000
EURRUB;D;22/01/14;000000;46.0120000;46.1090000;45.8370000;45.9720000
EURRUB;D;23/01/14;000000;45.9800000;46.7780000;45.8930000;46.7523000
EURRUB;D;24/01/14;000000;46.7580000;47.3740000;46.6290000;47.1960000
EURRUB;D;25/01/14;000000;47.2000000;47.2200000;47.1480000;47.1540000
EURRUB;D;27/01/14;000000;47.3095000;47.7321000;47.0390000;47.3630000
EURRUB;D;28/01/14;000000;47.3810000;47.6110000;47.0500000;47.4150000
EURRUB;D;29/01/14;000000;47.5770000;48.1870000;47.0420000;48.0320000
EURRUB;D;30/01/14;000000;48.0430000;48.2330000;47.1350000;47.2820000
EURRUB;D;31/01/14;000000;47.2930000;47.8990000;47.1820000;47.4121000
EURRUB;D;01/02/14;000000;47.4040000;47.4390000;47.3480000;47.3480000
EURRUB;D;03/02/14;000000;47.3380000;47.9680000;47.3290000;47.9380000
EURRUB;D;04/02/14;000000;47.9490000;48.0680000;47.2444000;47.2640000
EURRUB;D;05/02/14;000000;47.2740000;47.4170000;46.7915000;47.2057000
EURRUB;D;06/02/14;000000;47.1720000;47.4260000;46.8790000;47.1740000
EURRUB;D;07/02/14;000000;47.1650000;47.4196000;46.9290000;47.3610000
EURRUB;D;08/02/14;000000;47.3570000;47.4530000;47.3150000;47.4510000
EURRUB;D;09/02/14;000000;47.3320000;47.3850000;47.3320000;47.3730000
EURRUB;D;10/02/14;000000;47.3710000;47.5470000;47.1900000;47.3820000
EURRUB;D;11/02/14;000000;47.3930000;47.6300000;47.3480000;47.3760000
EURRUB;D;12/02/14;000000;47.3740000;47.4870000;47.1822000;47.3470000
EURRUB;D;13/02/14;000000;47.3440000;48.2500000;47.2939000;48.0250000
EURRUB;D;14/02/14;000000;48.0290000;48.4520000;47.8460000;48.0878000
EURRUB;D;15/02/14;000000;48.1030000;48.2100000;48.0431000;48.0470000
EURRUB;D;16/02/14;000000;48.0620000;48.0620000;48.0620000;48.0620000
EURRUB;D;17/02/14;000000;48.0890000;48.3340000;48.0102000;48.2464000
EURRUB;D;18/02/14;000000;48.2540000;48.8110000;48.1800000;48.7780000
EURRUB;D;19/02/14;000000;48.8010000;49.3370000;48.7030000;49.1790000
EURRUB;D;20/02/14;000000;49.1790000;49.3700000;48.8704000;49.0910000
EURRUB;D;21/02/14;000000;49.0710000;49.2080000;48.6974000;48.7757000
EURRUB;D;22/02/14;000000;48.7910000;48.8910000;48.7350000;48.8690000
EURRUB;D;23/02/14;000000;48.7620000;48.8450000;48.7620000;48.8430000
EURRUB;D;24/02/14;000000;48.8440000;48.9560000;48.5917000;48.7137000
EURRUB;D;25/02/14;000000;48.7300000;49.1070000;48.7000000;49.0690000
EURRUB;D;26/02/14;000000;49.0820000;49.4880000;49.0160000;49.2750000
EURRUB;D;27/02/14;000000;49.3030000;49.5840000;49.2087000;49.4320000
EURRUB;D;28/02/14;000000;49.4180000;49.9730000;49.2690000;49.7238000
EURRUB;D;01/03/14;000000;49.7330000;49.8790000;49.6680000;49.7770000
EURRUB;D;02/03/14;000000;49.5280000;49.5280000;49.5280000;49.5280000
EURRUB;D;03/03/14;000000;49.6110000;50.7710000;49.5828000;50.1330000
EURRUB;D;04/03/14;000000;50.1410000;50.2340000;49.4866000;49.5060000
EURRUB;D;05/03/14;000000;49.5490000;49.7040000;49.3389000;49.4790000
EURRUB;D;06/03/14;000000;49.4740000;50.2430000;49.4361000;50.1200000
EURRUB;D;07/03/14;000000;50.0880000;50.6050000;49.9830000;50.4461000
EURRUB;D;08/03/14;000000;50.5450000;50.5660000;50.3620000;50.5660000
EURRUB;D;09/03/14;000000;50.5280000;50.5620000;50.3820000;50.3880000
EURRUB;D;10/03/14;000000;50.3770000;50.6710000;50.3590000;50.4480000
EURRUB;D;11/03/14;000000;50.4480000;50.6260000;50.3110000;50.5040000
EURRUB;D;12/03/14;000000;50.5030000;50.7900000;50.4390000;50.7510000
EURRUB;D;13/03/14;000000;50.7490000;50.9260000;50.6310000;50.7660000
EURRUB;D;14/03/14;000000;50.7510000;51.1000000;50.6250000;50.8240000
EURRUB;D;15/03/14;000000;50.8450000;50.8760000;50.6220000;50.8460000
EURRUB;D;17/03/14;000000;50.9730000;51.0380000;50.4300000;50.5072000
EURRUB;D;18/03/14;000000;50.5240000;50.9240000;50.3050000;50.4520000
EURRUB;D;19/03/14;000000;50.4920000;50.5110000;49.8685000;49.9820000
EURRUB;D;20/03/14;000000;49.9890000;50.2350000;49.5652000;50.1478000
EURRUB;D;21/03/14;000000;50.1460000;50.3080000;49.9099000;49.9640000
EURRUB;D;22/03/14;000000;49.9960000;49.9970000;49.9230000;49.9890000
EURRUB;D;24/03/14;000000;49.9874000;50.1080000;49.6220000;49.9110000
EURRUB;D;25/03/14;000000;49.9070000;49.9840000;48.9900000;49.0461000
EURRUB;D;26/03/14;000000;49.0580000;49.1170000;48.7850000;49.0130000
EURRUB;D;27/03/14;000000;49.0220000;49.1130000;48.8750000;48.9300000
EURRUB;D;28/03/14;000000;48.9640000;49.5540000;48.8530000;49.1610000
EURRUB;D;29/03/14;000000;49.2461000;49.2690000;49.1490000;49.1520000
EURRUB;D;30/03/14;000000;49.0050000;49.0460000;49.0050000;49.0440000
EURRUB;D;31/03/14;000000;49.2683000;49.2683000;48.2400000;48.2410000
EURRUB;D;01/04/14;000000;48.2700000;48.5340000;48.1210000;48.3690000
EURRUB;D;02/04/14;000000;48.3900000;48.8860000;48.2590000;48.7750000
