<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;01/01/17;000000;1.0527000;1.0528000;1.0509000;1.0515000
EURUSD;D;02/01/17;000000;1.0515000;1.0529300;1.0455000;1.0459900
EURUSD;D;03/01/17;000000;1.0459900;1.0490100;1.0339400;1.0401700
EURUSD;D;04/01/17;000000;1.0402000;1.0499800;1.0387000;1.0486000
EURUSD;D;05/01/17;000000;1.0485700;1.0615400;1.0479000;1.0598900
EURUSD;D;06/01/17;000000;1.0598800;1.0622100;1.0522000;1.0534100
EURUSD;D;07/01/17;000000;1.0533800;1.0535500;1.0527000;1.0532000
EURUSD;D;08/01/17;000000;1.0531800;1.0538000;1.0524000;1.0528100
EURUSD;D;09/01/17;000000;1.0528000;1.0583100;1.0508000;1.0568400
EURUSD;D;10/01/17;000000;1.0568700;1.0627400;1.0549000;1.0560900
EURUSD;D;11/01/17;000000;1.0561700;1.0622900;1.0452000;1.0572100
EURUSD;D;12/01/17;000000;1.0572800;1.0684800;1.0569000;1.0622000
EURUSD;D;13/01/17;000000;1.0623300;1.0673600;1.0595500;1.0637100
EURUSD;D;14/01/17;000000;1.0636900;1.0645000;1.0634000;1.0639900
EURUSD;D;15/01/17;000000;1.0615000;1.0627000;1.0599000;1.0601800
EURUSD;D;16/01/17;000000;1.0599000;1.0635900;1.0577000;1.0599200
EURUSD;D;17/01/17;000000;1.0598500;1.0720000;1.0594700;1.0704800
EURUSD;D;18/01/17;000000;1.0704900;1.0715900;1.0628000;1.0638200
EURUSD;D;19/01/17;000000;1.0637500;1.0676700;1.0588400;1.0660100
EURUSD;D;20/01/17;000000;1.0660300;1.0709600;1.0623000;1.0695500
EURUSD;D;21/01/17;000000;1.0695400;1.0704900;1.0689000;1.0699000
EURUSD;D;22/01/17;000000;1.0705100;1.0705100;1.0705100;1.0705100
EURUSD;D;23/01/17;000000;1.0705100;1.0754900;1.0700500;1.0743400
EURUSD;D;24/01/17;000000;1.0743200;1.0775000;1.0718000;1.0732900
EURUSD;D;25/01/17;000000;1.0733400;1.0770000;1.0709000;1.0752100
EURUSD;D;26/01/17;000000;1.0752400;1.0765700;1.0655000;1.0675500
EURUSD;D;27/01/17;000000;1.0675400;1.0725000;1.0657000;1.0694900
EURUSD;D;28/01/17;000000;1.0695300;1.0699100;1.0691000;1.0697900
EURUSD;D;29/01/17;000000;1.0690000;1.0718000;1.0685900;1.0715000
EURUSD;D;30/01/17;000000;1.0717000;1.0740300;1.0618800;1.0694500
EURUSD;D;31/01/17;000000;1.0694300;1.0812300;1.0682000;1.0796100
EURUSD;D;01/02/17;000000;1.0795700;1.0807500;1.0729400;1.0769600
EURUSD;D;02/02/17;000000;1.0770000;1.0828800;1.0754000;1.0761700
EURUSD;D;03/02/17;000000;1.0762300;1.0800000;1.0709900;1.0779600
EURUSD;D;04/02/17;000000;1.0778900;1.0787900;1.0775000;1.0780400
EURUSD;D;05/02/17;000000;1.0782000;1.0800000;1.0777000;1.0794000
EURUSD;D;06/02/17;000000;1.0794000;1.0798000;1.0704000;1.0750500
EURUSD;D;07/02/17;000000;1.0750500;1.0754100;1.0654000;1.0688100
EURUSD;D;08/02/17;000000;1.0688300;1.0714000;1.0638000;1.0687000
EURUSD;D;09/02/17;000000;1.0687600;1.0710000;1.0649000;1.0661600
EURUSD;D;10/02/17;000000;1.0662100;1.0667700;1.0606000;1.0637500
EURUSD;D;11/02/17;000000;1.0637600;1.0641900;1.0630000;1.0637000
EURUSD;D;12/02/17;000000;1.0637000;1.0640100;1.0619600;1.0623600
EURUSD;D;13/02/17;000000;1.0625900;1.0658400;1.0590000;1.0595800
EURUSD;D;14/02/17;000000;1.0595600;1.0633500;1.0559000;1.0576100
EURUSD;D;15/02/17;000000;1.0575100;1.0605800;1.0528900;1.0601900
EURUSD;D;16/02/17;000000;1.0601900;1.0680000;1.0587000;1.0673300
EURUSD;D;17/02/17;000000;1.0673000;1.0676900;1.0603000;1.0608200
EURUSD;D;18/02/17;000000;1.0608100;1.0616200;1.0604000;1.0612800
EURUSD;D;19/02/17;000000;1.0616000;1.0622200;1.0601400;1.0606000
EURUSD;D;20/02/17;000000;1.0609400;1.0633000;1.0601000;1.0614600
EURUSD;D;21/02/17;000000;1.0614600;1.0616000;1.0523000;1.0544100
EURUSD;D;22/02/17;000000;1.0544800;1.0574100;1.0492000;1.0566100
EURUSD;D;23/02/17;000000;1.0566100;1.0595400;1.0536000;1.0581600
EURUSD;D;24/02/17;000000;1.0582100;1.0620000;1.0555000;1.0561000
EURUSD;D;25/02/17;000000;1.0561200;1.0562800;1.0547000;1.0551000
EURUSD;D;26/02/17;000000;1.0560000;1.0569200;1.0555700;1.0566800
EURUSD;D;27/02/17;000000;1.0566700;1.0630700;1.0549000;1.0589900
EURUSD;D;28/02/17;000000;1.0589500;1.0630100;1.0566600;1.0594700
EURUSD;D;01/03/17;000000;1.0594900;1.0594900;1.0512700;1.0545800
EURUSD;D;02/03/17;000000;1.0545700;1.0551600;1.0493000;1.0507000
EURUSD;D;03/03/17;000000;1.0506700;1.0617300;1.0500000;1.0615700
EURUSD;D;04/03/17;000000;1.0616000;1.0623900;1.0609000;1.0618200
EURUSD;D;05/03/17;000000;1.0614000;1.0615000;1.0600000;1.0602400
EURUSD;D;06/03/17;000000;1.0602000;1.0640200;1.0572000;1.0582400
EURUSD;D;07/03/17;000000;1.0582300;1.0602600;1.0556000;1.0570000
EURUSD;D;08/03/17;000000;1.0569900;1.0574200;1.0533000;1.0543000
EURUSD;D;09/03/17;000000;1.0543300;1.0615400;1.0522000;1.0582000
EURUSD;D;10/03/17;000000;1.0581900;1.0699100;1.0569700;1.0686600
EURUSD;D;11/03/17;000000;1.0686700;1.0689600;1.0667000;1.0670000
EURUSD;D;12/03/17;000000;1.0671000;1.0688000;1.0669000;1.0675700
EURUSD;D;13/03/17;000000;1.0675600;1.0714400;1.0649000;1.0652500
EURUSD;D;14/03/17;000000;1.0653000;1.0662700;1.0598000;1.0603600
EURUSD;D;15/03/17;000000;1.0603600;1.0740200;1.0601000;1.0733900
EURUSD;D;16/03/17;000000;1.0733800;1.0770300;1.0703000;1.0765500
